,french,english
1397,rends,give back
1398,eddie,eddie
1399,double,double
1400,viendra,will come
1401,imbécile,imbecile
1402,essaye,try
1403,champ,field
1404,personnel,staff
1405,client,customer
1406,lait,milk
1407,contrat,CONTRACT
1408,partis,gone
1409,sexe,sex
1410,mienne,mine
1411,repas,meal
1412,mémoire,memory
1413,destin,fate
1414,direction,direction
1415,dors,sleep
1416,faite,done 
1417,pleurer,cry
1418,couteau,knife
1419,malin,clever
1420,remettre,to put back
1421,ray,ray
1422,témoin,witness
1423,restes,remains
1424,mètres,meters
1425,trésor,treasure
1426,gosses,kids
1427,aiment,love
1428,washington,Washington
1429,habite,reside
1430,foi,faith
1431,puisque,since
1432,apporté,brought
1433,solution,solution
1434,trouvez,find
1435,nouveaux,new
1436,réfléchir,to reflect on
1437,choisir,choose
1438,goût,taste
1439,remercie,thanks
1440,détruire,destroy
1441,université,university
1442,doux,soft
1443,beaux,beautiful
1444,raconter,tell
1445,vitesse,speed
1446,menti,lied
1447,três,very
1448,procès,trial
1449,enceinte,pregnant
1450,amuser,amuse
1451,niveau,level
1452,vus,seen
1453,miss,miss
1454,fermer,close
1455,arranger,arrange
1456,end,end
1457,clients,clients
1458,rappeler,remind
1459,Alex,Alex
1460,failli,bankrupt
1461,arbre,TREE
1462,papiers,papers
1463,Sarah,Sarah
1464,mérite,deserved
1465,différence,difference
1466,travaillé,work
1467,disons,let's say
1468,bleu,blue
1469,dise,say
1470,aimait,loved
1471,appelles,call
1472,espace,space
1473,caméra,camera
1474,censé,supposed
1475,qu,that
1476,piste,track
1477,sourire,smile
1478,courir,run
1479,accepter,accept
1480,retrouvé,found
1481,charles,Charles
1482,jambe,leg
1483,angleterre,England
1484,quels,which
1485,préparer,prepare
1486,marre,fed up
1487,forces,strengths
1488,tirez,PULL
1489,énorme,huge
1490,Danny,Danny
1491,trés,very
1492,invité,guest
1493,rentré,go home
1494,officier,officer
1495,pièces,pieces
1496,lettres,letters
1497,file,file
1498,programme,program
1499,tommy,Tommy
1500,arrêt,stop
1501,fout,fuck
1502,balles,balls
1503,flingue,gun
1504,chasse,hunting
1505,regrette,regret
1506,to,to
1507,propres,clean
1508,victime,victim
1509,appartient,belongs
1510,france,France
1511,unique,unique
1512,régler,adjust
1513,moindre,lesser
1514,compter,count
1515,voitures,cars
1516,énergie,energy
1517,fil,thread
1518,lycée,high school
1519,crise,crisis
1520,stop,stop
1521,image,picture
1522,vérifier,check
1523,dimanche,Sunday
1524,appareil,device
1525,justement,exactly
1526,richard,richard
1527,noms,names
1528,million,million
1529,cassé,broken
1530,enlever,to remove
1531,clés,keys
1532,noire,black
1533,man,man
1534,dépend,depends
1535,derniers,last
1536,doigts,fingers
1537,réponds,answer
1538,honnête,honest
1539,prouver,prove
1540,preuves,evidence
1541,durant,during
1542,souris,mouse
1543,entendez,hear
1544,lever,lift
1545,oiseau,bird
1546,belles,beautiful
1547,oû,Or
1548,apporte,brought
1549,grandes,large
1550,morceau,piece
1551,bobby,bobby
1552,bougez,move
1553,amène,bring
1554,interdit,forbidden
1555,présence,presence
1556,récupérer,to recover
1557,quelles,what
1558,manqué,lack
1559,cou,neck
1560,venait,came
1561,étage,floor
1562,regard,glance
1563,bouger,to move
1564,finalement,Ultimately
1565,couper,cut
1566,urgence,emergency
1567,perds,lose
1568,points,points
1569,meurt,dies
1570,partons,let's leave
1571,troisième,third
1572,savons,soaps
1573,folie,madness
1574,ancien,ancient
1575,chante,sung
1576,obtenir,get
1577,répète,say again
1578,toit,roof
1579,humains,humans
1580,robert,robert
1581,jardin,garden
1582,métier,job
1583,poche,poached
1584,méchant,wicked
1585,paradis,heaven
1586,proche,close
1587,rejoindre,join
1588,lors,during
1589,nombre,number
1590,crains,fear
1591,règle,ruler
1592,frapper,hit
1593,intention,intention
1594,succès,success
1595,forte,strong
1596,gentille,kind
1597,campagne,campaign
1598,raisons,reasons
1599,malgré,despite
1600,alcool,alcohol
1601,regardé,look at
1602,jerry,jerry
1603,billets,tickets
1604,fantastique,fantastic
1605,lee,lee
1606,théâtre,theater
1607,vôtre,your
1608,samedi,SATURDAY
1609,pluie,rain
1610,fermé,farm
1611,relation,relationship
1612,frappé,struck
1613,restaurant,restaurant
1614,douce,gentle
1615,maladie,disease
1616,parlait,spoke
1617,raté,missed
1618,casse,broken
1619,dessous,below
1620,pourrai,could
1621,victoire,victory
1622,voudrait,would like
1623,remarqué,REMARK
1624,assurer,ensure
1625,pleure,cry
1626,bouteille,bottle
1627,gare,station
1628,carrière,career
1629,sentiments,feelings
1630,suivi,follow up
1631,vies,lives
1632,fiston,son
1633,vendu,sold
1634,attendant,waiting
1635,pourras,will be able to
1636,amoureuse,in love
1637,mens,mens
1638,falloir,to need
1639,chinois,Chinese
1640,étranger,stranger
1641,appelait,called
1642,assure,ensures
1643,étant,being
1644,queue,tail
1645,odeur,smell
1646,enlève,remove
1647,produit,product
1648,meurs,die
1649,secrets,secrets
1650,pression,pressure
1651,fatigué,fatigue
1652,aies,ouch
1653,plage,beach
1654,okay,okay
1655,animal,animal
1656,frappe,struck
1657,montagne,mountain
1658,coffre,chest
1659,passage,passage
1660,suivant,following
1661,signal,signal
1662,discours,speech
1663,cents,cents
1664,claire,clear
1665,g,g
1666,rivière,river
1667,costume,suit
1668,prendra,will take
1669,souhaite,wish
1670,hasard,chance
1671,journaux,newspapers
1672,aveugle,blind
1673,lis,read
1674,demandez,ask
1675,retraite,retirement
1676,afin,in order to
1677,vendredi,Friday
1678,van,van
1679,auraient,would have
1680,obligé,obliged
1681,major,major
1682,neige,snow
1683,remercier,thank
1684,fusil,gun
1685,gardes,guards
1686,faible,weak
1687,pauvres,poor
1688,noirs,black
1689,gâteau,cake
1690,cesse,cease
1691,parfaitement,perfectly
1692,excuses,apologies
1693,viande,meat
1694,ministre,minister
1695,univers,universe
1696,vienne,come
1697,utile,useful
1698,demandais,asked
1699,crétin,dumbass
1700,gaffe,blunder
1701,cache,hidden
1702,disant,saying
1703,décider,decide
1704,dort,sleeps
1705,gaz,gas
1706,blancs,whites
1707,connaissance,awareness
1708,vouliez,wanted
1709,jake,jake
1710,vidéo,video
1711,bataille,battle
1712,vive,long live
1713,anna,anna
1714,martin,martin
1715,iui,iui
1716,os,bone
1717,entend,hears
1718,jeux,games
1719,will,will
1720,verras,will see
1721,date,date
1722,échapper,escape
1723,naissance,birth
1724,droits,rights
1725,assassin,assassin
1726,attendu,expected
1727,montez,go up
1728,nouvel,new
1729,pensent,think
1730,génie,genius
1731,sérieusement,seriously
1732,cible,target
1733,prépare,prepared
1734,agir,to act
1735,militaire,military
1736,futur,future
1737,attraper,catch
1738,bal,ball
1739,europe,Europe
1740,californie,California
1741,donnez,give
1742,cousin,cousin
1743,vert,Green
1744,poids,weight
1745,volonté,will
1746,ventre,belly
1747,accepte,accepted
1748,amené,bring
1749,recevoir,receive
1750,inquiétez,worry
1751,perd,lose
1752,autrement,otherwise
1753,informations,information
1754,titre,title
1755,célèbre,famous
1756,couple,couple
1757,sexy,sexy
1758,serons,will be
1759,certaine,certain
1760,parlons,let's talk
1761,star,star
1762,étoiles,stars
1763,rome,Rome
1764,los,the bone
1765,répondu,answered
1766,resté,stay
1767,charmant,charming
1768,puissant,powerful
1769,zéro,zero
1770,genoux,knees
1771,mine,mine
1772,couilles,balls
1773,pilote,pilot
1774,maria,maria
1775,style,style
1776,ramène,brings back
1777,voulons,want to
1778,embrasser,to kiss
1779,amener,to bring
1780,valeur,value
1781,fortune,fortune
1782,reprendre,to resume
1783,revenez,come back
1784,vieil,old
1785,walter,walter
1786,servi,served
1787,arrivés,arrived
1788,lève,survey
1789,voleur,thief
1790,côtés,sides
1791,chris,Chris
1792,note,note
1793,préféré,favorite
1794,couché,layer
1795,milliers,thousands
1796,aéroport,airport
1797,prévenir,prevent
1798,château,castle
1799,apparemment,apparently
1800,gardez,keep
1801,privé,private
1802,détails,details
1803,larry,larry
1804,direct,direct
1805,reposer,to rest
1806,commande,order
1807,cherchez,search
1808,fer,iron
1809,conduit,led
1810,conscience,awareness
1811,oreilles,ears
1812,conversation,conversation
1813,regardes,look
1814,joues,play
1815,ennemis,enemies
1816,attendent,wait
1817,article,article
1818,dieux,gods
1819,talent,talent
1820,aise,easy
1821,poulet,chicken
1822,passée,past
1823,comprend,understand
1824,gorge,throat
1825,feras,will do
1826,tribunal,court
1827,découvrir,discover
1828,agréable,pleasant
1829,jette,throws
1830,test,test
1831,emmerde,fuck
1832,détruit,destroy
1833,nerveux,nervous
1834,saint,Holy
1835,marrant,funny
1836,joindre,join
1837,sentiment,feeling
1838,lance,spear
1839,humaine,human
1840,acte,act
1841,jane,jane
1842,pis,worse
1843,enculé,motherfucker
1844,tuée,killed
1845,saura,will know
1846,doigt,finger
1847,pourrez,will be able to
1848,passera,will pass
1849,horreur,horror
1850,comptes,accounts
1851,dernières,latest
1852,violence,violence
1853,fumer,to smoke
1854,invités,guests
1855,parlais,spoke
1856,job,job
1857,salon,living room
1858,défendre,defend
1859,mariés,married
1860,rock,rock
1861,apporter,bring
1862,coupé,cut
1863,repos,rest
1864,paquet,pack
1865,page,page
1866,utilise,used
1867,victimes,victims
1868,sage,wise
1869,aidé,help
1870,intelligent,clever
1871,ombre,shadow
1872,vache,cow
1873,désert,desert
1874,forêt,forest
1875,parfaite,perfect
1876,tombée,fallen
1877,extérieur,outside
1878,entré,between
1879,série,series
1880,concerne,concerned
1881,paroles,words
1882,dira,will say
1883,it,it
1884,champion,champion
1885,fbi,FBI
1886,lundi,Monday
1887,moteur,engine
1888,ouverte,opened
1889,mince,thin
1890,al,al
1891,russe,Russian
1892,grandi,grown up
1893,rappelles,remind
1894,dormi,slept
1895,ordinateur,computer
1896,in,in
1897,angeles,angeles
1898,accepté,accepted
1899,désormais,From now on
1900,acteur,actor
1901,membres,members
1902,trouvée,found
1903,pete,pete
1904,surpris,surprised
1905,miracle,miracle
1906,vole,stolen
1907,manquer,miss
1908,franchement,Frankly
1909,apprécie,appreciate
1910,cigarette,cigarette
1911,chemise,shirt
1912,mark,mark
1913,tente,tent
1914,faisant,doing
1915,billet,ticket
1916,reculez,step back
1917,moyens,means
1918,importante,important
1919,unité,unit
1920,champagne,Champagne
1921,pensait,thought
1922,www,www
1923,partager,share
1924,smith,smith
1925,minuit,midnight
1926,américaine,American
1927,courses,races
1928,puissance,power
1929,william,William
1930,nombreux,many
1931,réparer,fix
1932,caché,hidden
1933,haute,high
1934,sommeil,sleep
1935,essence,essence
1936,riches,rich
1937,lac,lake
1938,maire,mayor
1939,mode,fashion
1940,vingt,twenty
1941,reviendra,will come back
1942,pousse,grows
1943,amusant,amusing
1944,passez,pass
1945,services,services
1946,doc,doc
1947,rues,streets
1948,of,of
1949,risques,risks
1950,émission,emission
1951,leçon,lesson
1952,annonce,announcement
1953,plans,plans
1954,usine,factory
1955,louis,louis
1956,imaginer,imagine
1957,chauffeur,driver
1958,marque,brand
1959,parc,park
1960,épée,sword
1961,fesses,buttocks
1962,échange,exchange
1963,souvenirs,memories
1964,créer,create
1965,senti,felt
1966,signer,sign
1967,artiste,artist
1968,jeté,thrown away
1969,réveiller,wake
1970,hiver,winter
1971,également,also
1972,hum,hum
1973,souffle,breath
1974,vrais,true
1975,arbres,trees
1976,saute,jumped up
1977,fuir,flee
1978,meme,even
1979,battu,beaten
1980,permission,permission
1981,casser,to break
1982,chicago,Chicago
1983,allemands,German
1984,utilisé,used
1985,mentir,lie
1986,souci,worry
1987,é,e
1988,coûte,cost
1989,paye,paid
1990,tres,very
1991,offert,Free
1992,sir,sir
1993,no,no
1994,chair,flesh
1995,caisse,box
1996,supplie,begs
1997,dégagez,get out
1998,raconté,tell
1999,andy,andy
2000,lunettes,glasses
2001,chouette,owl
2002,menteur,liar
2003,trouvera,will find
2004,semblant,pretend
2005,ignorais,I didn't know
2006,perdue,lost
2007,whisky,whiskey
2008,rentrez,come back
2009,premiers,first
2010,pantalon,pants
2011,menace,threat
2012,racontes,tell
2013,douche,shower
2014,oiseaux,birds
2015,finie,finished
2016,auront,will have
2017,débarrasser,rid
2018,membre,member
2019,perte,loss
2020,verrez,see
2021,front,forehead
2022,lèvres,lips
2023,mai,may
2024,fac,college
2025,allo,Hello
2026,connaissais,knew
2027,gouverneur,governor
2028,monnaie,cash
2029,chou,cabbage
2030,achète,bought
2031,thomas,thomas
2032,secrétaire,secretary
2033,montré,watch
2034,jones,jones
2035,écris,write
2036,parlent,talk
2037,chaise,chair
2038,herbe,grass
2039,créé,created
2040,manteau,coat
2041,chocolat,chocolate
2042,pause,break
2043,côte,side
2044,abandonner,give up
2045,policier,police officer
2046,patient,patient
2047,dave,dave
2048,études,studies
2049,ballon,ball 
2050,mène,led
2051,respire,breathe
2052,mouvement,movement
2053,suicide,suicide
2054,japonais,Japanese
2055,accès,access
2056,tienne,hold on
2057,laisserai,will let
2058,poupée,doll
2059,innocent,innocent
2060,allés,went
2061,identité,identify
2062,véritable,true
2063,simon,Simon
2064,devenue,become
2065,totalement,totally
2066,piège,trap
2067,gloire,glory
2068,pourraient,could
2069,abri,shelter
2070,explique,explain
2071,rapidement,quickly
2072,fonctionne,works
2073,boy,boy
2074,foule,crowd
2075,pensées,thoughts
2076,maisons,houses
2077,fantôme,ghost
2078,source,source
2079,lancer,throw
2080,suit,follows
2081,changement,change
2082,choc,shock
2083,veste,jacket
2084,attaquer,tackle
2085,faveur,favor
2086,oreille,ear
2087,touchez,touch
2088,malheureusement,Unfortunately
2089,soudain,suddenly
2090,tués,You are
2091,bref,Short
2092,malheur,misfortune
2093,portable,portable
2094,chaleur,heat
2095,mensonge,lie
2096,répondez,answer
2097,heureusement,Fortunately
2098,emploi,job
2099,lois,laws
2100,nettoyer,to clean
2101,attrape,caught
2102,geste,gesture
2103,verrai,will see
2104,notes,notes
2105,plat,flat
2106,etait,was
2107,corde,rope
2108,sacrée,sacred
2109,cherches,looking for
2110,siècle,century
2111,etat,state
2112,distance,distance
2113,refusé,denied
2114,mars,March
2115,saison,season
2116,bel,beautiful
2117,monté,mounted
2118,idiote,idiot
2119,recherches,research
2120,alerte,alert
2121,ennuie,bored
2122,christ,Christ
2123,remonte,traced back
2124,plaisante,joke
2125,city,city
2126,bat,beat
2127,images,pictures
2128,voulaient,wanted
2129,titres,securities
2130,alice,alice
2131,couverture,blanket
2132,moments,moments
2133,big,big
2134,mesure,measure
2135,atteindre,reach
2136,singe,monkey
2137,pistolet,gun
2138,frontière,border
2139,réel,real
2140,réfléchi,thoughtful
2141,somme,sum
2142,agents,agents
2143,ours,bear
2144,prisonniers,prisoners
2145,évidemment,obviously
2146,afrique,Africa
2147,allemand,German
2148,dan,dan
2149,couche,layer
2150,relations,relationships
2151,texas,Texas
2152,delà,of the
2153,celles,those
2154,navire,ship
2155,deviens,become
2156,bite,cock
2157,laisses,leashes
2158,dirige,directed
2159,partenaire,partner
2160,aube,dawn
2161,demi,half
2162,affreux,awful
2163,camarade,comrade
2164,street,street
2165,inquiéter,worry
2166,tableau,painting 
2167,fatiguée,tired
2168,entreprise,business
2169,demandes,requests
2170,nana,chick
2171,re,D
2172,coincé,stuck
2173,tenu,tenuous
2174,viré,fired
2175,suspect,suspicious
2176,reconnais,recognize
2177,ressens,feel
2178,juif,Jewish
2179,directement,directly
2180,mexique,Mexico
2181,cherché,look for
2182,marine,Marine
2183,prisonnier,prisoner
2184,finit,ends
2185,howard,howard
2186,étoile,star
2187,jean,Jeans
2188,convaincre,convince
2189,filer,spin
2190,kevin,kevin
2191,bosse,bump
2192,pousser,push
2193,protection,protection
2194,signé,sign
2195,crier,shout
2196,rêvé,dream
2197,respirer,breathe
2198,propriétaire,owner
2199,prêtre,priest
2200,donnes,data
2201,taire,to hush up
2202,permettre,allow
2203,prudent,careful
2204,carl,carl
2205,commis,clerk
2206,chaîne,chain
2207,copains,friends
2208,sec,dry
2209,cauchemar,nightmare
2210,laver,wash
2211,hollywood,Hollywood
2212,jeff,jeff
2213,réfléchis,think
2214,trompe,deceived
2215,hais,hate
2216,immeuble,building
2217,supporter,support
2218,soi,self
2219,bagages,luggage
2220,tir,shot
2221,traverser,to cross
2222,commissaire,commissioner
2223,mac,mac
2224,donnerai,will give
2225,reviendrai,will come back
2226,larmes,tears
2227,déranger,to disturb
2228,Arthur,Arthur
2229,pigé,caught
2230,réserve,reserve
2231,adam,Adam
2232,volant,flying
2233,uniforme,uniform
2234,st,st
2235,croient,believe
2236,différents,different
2237,souffrir,suffer
2238,maudit,damn
2239,valise,suitcase
2240,prendrai,will take
2241,assurance,insurance
2242,abandonné,abandoned
2243,dames,ladies
2244,lendemain,the following day
2245,navré,sorry
2246,prennent,take
2247,sénateur,senator
2248,roule,rolled
2249,montagnes,mountains
2250,lapin,rabbit
2251,juifs,Jews
2252,amuse,amused
2253,espérais,hoped
2254,fleur,flower
2255,merveilleuse,wonderful
2256,tournée,tour
2257,scott,scott
2258,information,information
2259,foyer,hearth
2260,tourné,turned
2261,personnage,character
2262,permettez,allow
2263,amitié,friendship
2264,hâte,haste
2265,opinion,opinion
2266,curieux,curious
2267,concert,concert
2268,enfance,childhood
2269,extraordinaire,extraordinary
2270,davantage,any further
2271,saviez,knew
2272,chargé,charge
2273,porc,pork
2274,recommence,start again
2275,chèque,check
2276,piano,piano
2277,jouez,play
2278,océan,ocean
2279,ayant,having
2280,go,go
2281,pattes,paws
2282,ravie,delighted
2283,trace,trace
2284,réveillé,wake up
2285,miles,miles
2286,soupe,soup
2287,sucre,sugar
2288,écoutes,listens
2289,vierge,virgin
2290,mauvaises,bad
2291,objet,object
2292,adorable,adorable
2293,chine,China
2294,sonne,rings
2295,envoyez,send
2296,réputation,reputation
2297,kate,kate
2298,sport,sport
2299,brave,brave
2300,lieux,places
2301,brûle,burns
2302,russes,Russian
2303,murs,walls
2304,second,second
2305,etes,are
2306,facilement,easily
2307,troupes,troops
2308,titrage,titration
2309,canon,cannon
2310,bague,ring
2311,bâtiment,building
2312,seraient,would be
2313,cellule,cell
2314,Susan,Susan
2315,survivre,survive
2316,trouverai,will find
2317,printemps,spring
2318,voisins,neighbors
2319,nuits,nights
2320,chances,odds
2321,contrôler,control
2322,compliqué,complicated
2323,voyais,saw
2324,retirer,withdraw
2325,ancienne,Ancient
2326,théorie,theory
2327,avancez,move forward
2328,studio,studio
2329,exploser,explode
2330,explosion,blast
2331,fiancée,fiancee
2332,évident,obvious
2333,gardé,guard
2334,accusé,accused
2335,Annie,Annie
2336,témoins,witnesses
2337,désir,desire
2338,humanité,humanity
2339,amen,Amen
2340,magie,magic
2341,restera,will stay
2342,palais,palace
2343,cirque,circus
2344,cinglé,crazy
2345,conduis,drive
2346,sales,dirty
2347,traces,traces
2348,station,station
2349,construire,build
2350,joey,joey
2351,siège,seat
2352,Kelly,Kelly
2353,semblait,seemed
2354,vivants,living
2355,voient,see
2356,représente,represented
2357,sombre,dark
2358,lourd,heavy
2359,lá,there
2360,familles,families
2361,égal,equal
2362,surveille,monitors
2363,terme,term
2364,gêne,embarrassed
2365,poule,chicken
2366,pére,father
2367,devraient,should
2368,soif,thirsty
2369,haine,hate
2370,Rachel,Rachael
2371,Jason,Jason
2372,surveiller,to watch
2373,ted,ted
2374,marin,marine
2375,procureur,prosecutor
2376,traité,treaty
2377,vivent,live
2378,chansons,songs
2379,souvenez,remember
2380,entière,whole
2381,résultat,result
2382,préparé,prepared
2383,top,top
2384,enchantée,Nice to meet you
2385,gardien,guardian
2386,traite,treaty
2387,avancer,move forward
2388,commun,common
2389,pêche,fishing
2390,tien,yours
2391,posé,laid
2392,libérer,release
2393,gamins,kids
2394,taule,jail
2395,retournez,return
2396,médicaments,drugs
2397,matériel,material
2398,crâne,skull
2399,région,region
2400,débile,stupid
2401,science,science
2402,délicieux,delicious
2403,privée,private
2404,créature,creature
2405,ho,ho
2406,ed,ed
2407,king,king
2408,liquide,liquid
2409,réglé,ruler
2410,gay,gay
2411,apprend,learn
2412,quant,as to
2413,péché,fishing
2414,répéter,repeat
2415,auprès,with
2416,tâche,stain
2417,devine,guess
2418,mener,carry out
2419,vente,sale
2420,plu,enjoyed
2421,joueur,player
2422,modèle,model
2423,aurons,will have
2424,up,up
2425,mensonges,lies
2426,fermez,close
2427,traiter,to treat
2428,secteur,sector
2429,soyons,let's be
2430,barre,rod
2431,appelée,called
2432,projets,projects
2433,roman,novel
2434,veille,day before
2435,étudier,to study
2436,tenue,outfit
2437,physique,physical
2438,passait,passed
2439,concours,competition
2440,jaune,YELLOW
2441,inconnu,unknown
2442,victor,Victor
2443,vision,vision
2444,black,black
2445,lentement,slowly
2446,surface,surface
2447,dick,dick
2448,com,com
2449,matt,Matt
2450,kilomètres,kilometers
2451,baise,fuck
2452,x,x
2453,sers,serve
2454,abandonne,abandoned
2455,vivante,alive
2456,spéciale,special
2457,prof,teacher
2458,poissons,Pisces
2459,bosser,work
2460,cherchais,was looking for
2461,my,my
2462,empire,empire
2463,cigarettes,cigarettes
2464,amies,friends
2465,aventure,adventure
2466,responsabilité,responsibility
2467,sauve,Safe
2468,devrions,should
2469,lucy,Lucy
2470,atteint,reached
2471,infirmière,nurse
2472,humeur,mood
2473,descendez,go down
2474,résultats,results
2475,tenté,tent
2476,baisse,drop
2477,mn,min
2478,rare,rare
2479,empreintes,fingerprints
2480,proches,relatives
2481,sauvage,savage
2482,virer,fire
2483,fumée,smoke
2484,lisa,Lisa
2485,engagé,engaged
2486,romantique,romantic
2487,cloche,Bell
2488,brian,brian
2489,magique,Magic
2490,chers,Dear
2491,comité,committee
2492,choisis,choose
2493,voila,There
2494,jaloux,jealous
2495,divorce,divorce
2496,lord,lord
2497,détective,detective
2498,rouges,red
2499,fred,Fred
2500,ambulance,ambulance
2501,rentrée,back to school
2502,port,port
2503,anne,anne
2504,roy,roy
2505,cochon,pig
2506,enfuir,escape
2507,devra,must
2508,francisco,francisco
2509,ménage,household
2510,roger,Roger
2511,particulier,particular
2512,journaliste,journalist
2513,croix,cross
2514,pareille,similar
2515,royaume,kingdom
2516,disparaître,disappear
2517,jus,juice
2518,comte,county
2519,sainte,holy
2520,soucis,worries
2521,allemagne,Germany
2522,patience,patience
2523,fallu,necessary
2524,net,net
2525,suivez,follow
2526,panique,panic
2527,q,q
2528,morceaux,parts
2529,construit,built
2530,crédit,credit
2531,rater,miss
2532,normale,normal
2533,attendait,was waiting
2534,bye,bye
2535,fromage,cheese
2536,embrasse,kiss
2537,complet,complete
2538,bouffe,food
2539,boutique,shop
2540,seriez,would be
2541,recommencer,restart
2542,scénario,scenario
2543,jeudi,THURSDAY
2544,endroits,locations
2545,brûler,burn
2546,nommé,appointed
2547,mardi,Tuesday
2548,hall,lobby
2549,réalisé,accomplished
2550,terry,terry
2551,passion,passion
2552,enlevé,removed
2553,profond,deep
2554,télévision,television
2555,abruti,jerk
2556,réussir,succeed
2557,répond,answers
2558,red,red
2559,emmené,taken away
2560,cadeaux,gifts
2561,remonter,go back up
2562,accompagner,to accompany
2563,johnson,Johnson
2564,différente,different
2565,tromper,deceive
2566,pot,jar
2567,lien,link
2568,serpent,snake
2569,imaginez,imagine
2570,excusez,excuse
2571,trompé,deceived
2572,cadavre,corpse
2573,bouton,button
2574,cancer,cancer
2575,descend,goes down
2576,centaines,hundreds
2577,poussière,dust
2578,piscine,pool
2579,entraînement,training
2580,terminée,finished
2581,tapis,carpet
2582,esprits,spirits
2583,phil,phil
2584,inviter,invite
2585,œuvre,artwork
2586,imagination,imagination
2587,chut,shh
2588,park,park
2589,existence,existence
2590,empereur,emperor
2591,décide,decided
2592,eric,eric
2593,ascenseur,elevator
2594,criminel,criminal
2595,révolution,revolution
2596,principal,main
2597,terres,land
2598,charmante,charming
2599,promesse,promise
2600,période,period
2601,craint,fears
2602,croyait,believed
2603,courrier,mail
2604,récemment,recently
2605,écran,screen
2606,anciens,old
2607,cris,screams
2608,passes,passes
2609,combattre,combat
2610,réveille,wake up
2611,feront,will do
2612,élevé,pupil
2613,têtes,heads
2614,souffre,suffer
2615,quiconque,anyone
2616,malheureux,unfortunate
2617,césar,Caesar
2618,arrives,arrive
2619,empêche,stop
